day,total_amount
2023-04-12 00:00:00.000 UTC,1.808369791709e+13
2023-04-13 00:00:00.000 UTC,2.02781779357975e+14
2023-04-14 00:00:00.000 UTC,1.0330083699845e+14
2023-04-15 00:00:00.000 UTC,3.92802555901131e+14
2023-04-16 00:00:00.000 UTC,2.80435481006016e+14
2023-04-17 00:00:00.000 UTC,6.4828984723272e+13
2023-04-18 00:00:00.000 UTC,2.077255813068e+13
2023-04-19 00:00:00.000 UTC,8.5046207065035e+13
2023-04-20 00:00:00.000 UTC,2.00461064560027e+14
2023-04-21 00:00:00.000 UTC,4.098300629742e+12
2023-04-22 00:00:00.000 UTC,2.196504163678e+12
2023-04-23 00:00:00.000 UTC,2.021507300661e+12
2023-04-24 00:00:00.000 UTC,2.85570399528101e+14
2023-04-25 00:00:00.000 UTC,3.0926212186602e+13
2023-04-26 00:00:00.000 UTC,6.60652730759e+12
2023-04-27 00:00:00.000 UTC,9.148419654401e+12
2023-04-28 00:00:00.000 UTC,2.09674271376849e+14
2023-04-29 00:00:00.000 UTC,2.3918838076197e+13
2023-04-30 00:00:00.000 UTC,2.0244724926065e+13
2023-05-01 00:00:00.000 UTC,9.780356957503e+12
2023-05-02 00:00:00.000 UTC,5.094389385942e+12
2023-05-03 00:00:00.000 UTC,1.43449082475634e+14
2023-05-04 00:00:00.000 UTC,5.599568523439e+13
2023-05-05 00:00:00.000 UTC,7.9490636290811e+13
2023-05-06 00:00:00.000 UTC,2.8924997454492e+13
2023-05-07 00:00:00.000 UTC,1.39670665743378e+14
2023-05-08 00:00:00.000 UTC,5.2702900897304e+13
2023-05-09 00:00:00.000 UTC,6.919937355847e+12
2023-05-10 00:00:00.000 UTC,2.1714245544503e+13
2023-05-11 00:00:00.000 UTC,3.1150812507484e+13
2023-05-12 00:00:00.000 UTC,6.7151897943145e+13
2023-05-13 00:00:00.000 UTC,5.3900129776548e+13
2023-05-14 00:00:00.000 UTC,1.2294729175651e+13
2023-05-15 00:00:00.000 UTC,7.588302783876e+12
2023-05-16 00:00:00.000 UTC,2.3337515621919e+13
2023-05-17 00:00:00.000 UTC,2.2988266948987e+13
2023-05-18 00:00:00.000 UTC,4.28187554057e+12
2023-05-19 00:00:00.000 UTC,1.6224030765008e+13
2023-05-20 00:00:00.000 UTC,3.021422375914e+12
2023-05-21 00:00:00.000 UTC,4.5113339296027e+13
2023-05-22 00:00:00.000 UTC,3.6136823614357e+13
2023-05-23 00:00:00.000 UTC,4.373669871197e+12
2023-05-24 00:00:00.000 UTC,6.458232856825e+12
2023-05-25 00:00:00.000 UTC,6.990196764254e+12
