day,value
2020-11-03 00:00:00.000 UTC,4000000000000000000
2020-11-04 00:00:00.000 UTC,12292411049571927469136
2020-11-05 00:00:00.000 UTC,22432005500000000000000
2020-11-06 00:00:00.000 UTC,7776000000000000000000
2020-11-07 00:00:00.000 UTC,4035003275603700000000
2020-11-08 00:00:00.000 UTC,4064000000000000000000
2020-11-09 00:00:00.000 UTC,1596000000000000000000
2020-11-10 00:00:00.000 UTC,3264000013374206900000
2020-11-11 00:00:00.000 UTC,4672000000000000000000
2020-11-12 00:00:00.000 UTC,1984000000000000000000
2020-11-13 00:00:00.000 UTC,3615000000000000000000
2020-11-14 00:00:00.000 UTC,16960000000000000000000
2020-11-15 00:00:00.000 UTC,12032029677136273601706
2020-11-16 00:00:00.000 UTC,5408000000000000000000
2020-11-17 00:00:00.000 UTC,1792005033759000000000
2020-11-18 00:00:00.000 UTC,3488001629600000000000
2020-11-19 00:00:00.000 UTC,2816000000000000000000
2020-11-20 00:00:00.000 UTC,39265000001000000000000
2020-11-21 00:00:00.000 UTC,87488000000000000000000
2020-11-22 00:00:00.000 UTC,33856000000000000000000
2020-11-23 00:00:00.000 UTC,153216000000000000000000
2020-11-24 00:00:00.000 UTC,120192715536110012311157
2020-11-25 00:00:00.000 UTC,30080004766853247281759
2020-11-26 00:00:00.000 UTC,33952000000000000000000
2020-11-27 00:00:00.000 UTC,16256003768680000000000
2020-11-28 00:00:00.000 UTC,20480000000000000000000
2020-11-29 00:00:00.000 UTC,13952100000000000000000
2020-11-30 00:00:00.000 UTC,21504010441000000000000
2020-12-01 00:00:00.000 UTC,37440510930000000000930
2020-12-02 00:00:00.000 UTC,53344032991309219435209
2020-12-03 00:00:00.000 UTC,14176030000000000000000
2020-12-04 00:00:00.000 UTC,31136000000000000000000
2020-12-05 00:00:00.000 UTC,25824001000000000000000
2020-12-06 00:00:00.000 UTC,17408000000000000000000
2020-12-07 00:00:00.000 UTC,27616001000000000000000
2020-12-08 00:00:00.000 UTC,59456000000000000000000
2020-12-09 00:00:00.000 UTC,23584500000000000000000
2020-12-10 00:00:00.000 UTC,51488000000000000000000
2020-12-11 00:00:00.000 UTC,29504000931000000000000
2020-12-12 00:00:00.000 UTC,12384339478400042000000
2020-12-13 00:00:00.000 UTC,13280005000000000000000
2020-12-14 00:00:00.000 UTC,13760000000000000000000
2020-12-15 00:00:00.000 UTC,15424000000000000000000
2020-12-16 00:00:00.000 UTC,10722000000000000000000
2020-12-17 00:00:00.000 UTC,8963000000000000000000
2020-12-18 00:00:00.000 UTC,13756000000000000000000
2020-12-19 00:00:00.000 UTC,37888000000000000000000
2020-12-20 00:00:00.000 UTC,39136000000000000000000
2020-12-21 00:00:00.000 UTC,88545000000000000000000
2020-12-22 00:00:00.000 UTC,63616000000000000000000
2020-12-23 00:00:00.000 UTC,73664000000000000000000
2020-12-24 00:00:00.000 UTC,4448000000000000000000
2020-12-25 00:00:00.000 UTC,5152001000000000000000
2020-12-26 00:00:00.000 UTC,5632000000000000000000
2020-12-27 00:00:00.000 UTC,4608000000000000000000
2020-12-28 00:00:00.000 UTC,8896000000000000000000
2020-12-29 00:00:00.000 UTC,10784000000000000000000
2020-12-30 00:00:00.000 UTC,19936000000000000000000
2020-12-31 00:00:00.000 UTC,17088000000000000000000
2021-01-01 00:00:00.000 UTC,8704000000000000000000
2021-01-02 00:00:00.000 UTC,3328000000000000000000
2021-01-03 00:00:00.000 UTC,4832000000000000000000
2021-01-04 00:00:00.000 UTC,7936010383353991412680
2021-01-05 00:00:00.000 UTC,9822000000000000000000
2021-01-06 00:00:00.000 UTC,8480000000000000000000
2021-01-07 00:00:00.000 UTC,4192000000000000000000
2021-01-08 00:00:00.000 UTC,11872000000001318837997
2021-01-09 00:00:00.000 UTC,4544327123000000000000
2021-01-10 00:00:00.000 UTC,4224000000000000000000
2021-01-11 00:00:00.000 UTC,37216031973046484954583
2021-01-12 00:00:00.000 UTC,13408000000000000000000
2021-01-13 00:00:00.000 UTC,4416000000000000000000
2021-01-14 00:00:00.000 UTC,24576000000000000000000
2021-01-15 00:00:00.000 UTC,6304000000000000000000
2021-01-16 00:00:00.000 UTC,13760000000000000000000
2021-01-17 00:00:00.000 UTC,3360000000000000000000
2021-01-18 00:00:00.000 UTC,46240000000000000000000
2021-01-19 00:00:00.000 UTC,105760000000000000000000
2021-01-20 00:00:00.000 UTC,67136000000000000000000
2021-01-21 00:00:00.000 UTC,1920000000000000000000
2021-01-22 00:00:00.000 UTC,10080000000000000000000
2021-01-23 00:00:00.000 UTC,4480000000000000000000
2021-01-24 00:00:00.000 UTC,4384000000000000000000
2021-01-25 00:00:00.000 UTC,3488001660100000000000
2021-01-26 00:00:00.000 UTC,2624000000000000000000
2021-01-27 00:00:00.000 UTC,2752000000000000000000
2021-01-28 00:00:00.000 UTC,7488000000000000000000
2021-01-29 00:00:00.000 UTC,2464000000000000000000
