Date,Execution Nodes By Country,Execution Nodes By Client Base,Consensus Nodes By Country,Consensus Nodes By Client,Amount Staked By Pool,Native Assets By Address,Exchange By Supply,Activity By Bundler,Stablecoins By Tvl,Rollups By Tvl,Blocks By Builder,User Ops By Bundler,Accounts By Deployer,Blocks By Relays,masterIndex
2023-05-23,0.2,0.51,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.47,0.21,0,0,0.23,0.25
2023-05-24,0.21,0.51,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.47,0.21,1,0,0.24,0.16
2023-05-25,0.21,0.51,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.48,0.2,0.52,0,0.22,0.29
2023-05-26,0.21,0.51,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.47,0.21,1,1,0.23,0.25
2023-05-27,0.21,0.51,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.48,0.19,0,0,0.24,0.25
2023-05-28,0.21,0.52,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.48,0.22,1,1,0.23,0.25
2023-05-29,0.21,0.52,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.48,0.22,1,1,0.24,0.25
2023-05-30,0.21,0.52,0.18,0.33,0.2,0.4,0.34,0.53,0.35,0.48,0.2,0,0,0.24,0.25
2023-06-01,0.21,0.52,0.18,0.32,0.2,0.4,0.34,0.53,0.35,0.47,0.2,1,0,0.24,0.16
2023-06-02,0.22,0.52,0.18,0.32,0.2,0.4,0.34,0.53,0.35,0.47,0.19,0.5,1,0.22,0.24
2023-06-03,0.22,0.52,0.18,0.32,0.2,0.4,0.34,0.53,0.35,0.47,0.17,1,0,0.22,0.16
2023-06-04,0.23,0.52,0.18,0.32,0.2,0.4,0.34,0.53,0.35,0.47,0.18,0,0,0.22,0.25
2023-06-05,0.22,0.51,0.18,0.32,0.2,0.4,0.34,0.53,0.35,0.47,0.23,0.5,1,0.22,0.24
2023-06-06,0.22,0.52,0.18,0.32,0.2,0.4,0.34,0.53,0.35,0.46,0.26,0,0,0.23,0.25
2023-06-07,0.23,0.52,0.18,0.32,0.2,0.4,0.33,0.53,0.35,0.5,0.21,0,0,0.23,0.25
2023-06-08,0.23,0.51,0.18,0.32,0.2,0.4,0.33,0.53,0.35,0.46,0.21,0,0,0.22,0.25
2023-06-09,0.22,0.51,0.18,0.32,0.2,0.4,0.33,0.53,0.36,0.46,0.18,0,0,0.23,0.25
2023-06-10,0.23,0.5,0.19,0.31,0.2,0.4,0.33,0.53,0.36,0.46,0.21,0,0,0.21,0.25
2023-06-11,0.23,0.5,0.19,0.31,0.2,0.4,0.33,0.53,0.36,0.46,0.19,0,0,0.21,0.25
2023-06-12,0.23,0.5,0.19,0.31,0.2,0.4,0.33,0.53,0.36,0.46,0.18,0,0,0.23,0.25
2023-06-13,0.24,0.49,0.19,0.31,0.2,0.4,0.33,0.53,0.36,0.46,0.16,0.63,1,0.24,0.24
2023-06-14,0.24,0.49,0.19,0.31,0.2,0.4,0.33,0.53,0.36,0.46,0.2,0.63,1,0.23,0.25
2023-06-15,0.24,0.49,0.19,0.31,0.2,0.4,0.33,0.53,0.36,0.46,0.22,1,0,0.23,0.17
2023-06-16,0.24,0.49,0.18,0.31,0.2,0.4,0.33,0.53,0.37,0.45,0.21,0.8,0,0.23,0.2
2023-06-17,0.23,0.49,0.18,0.31,0.2,0.4,0.33,0.53,0.37,0.45,0.16,0,0,0.23,0.24
