Date,Execution Nodes By Country,Execution Nodes By Client Base,Consensus Nodes By Country,Consensus Nodes By Client,Amount Staked By Pool,Native Assets By Address,Exchange By Supply,Activity By Bundler,Stablecoins By Tvl,Rollups By Tvl,Blocks By Builder,Blocks By Relays,masterIndex
2023-05-23,0.48,0.28,0.51,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-05-24,0.47,0.28,0.5,0.3,0.54,0.33,0.3,0.1,0.59,0.44,0.43,0.33,0.29
2023-05-25,0.48,0.28,0.5,0.3,0.54,0.33,0.3,0.1,0.59,0.44,0.43,0.33,0.29
2023-05-26,0.48,0.29,0.51,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-05-27,0.48,0.29,0.49,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.41,0.33,0.29
2023-05-28,0.48,0.29,0.49,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-05-29,0.48,0.27,0.5,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-05-30,0.49,0.29,0.48,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.43,0.31,0.29
2023-06-01,0.5,0.28,0.51,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-06-02,0.49,0.27,0.49,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-03,0.49,0.29,0.49,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-04,0.49,0.27,0.5,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.44,0.33,0.29
2023-06-05,0.49,0.27,0.5,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.43,0.32,0.29
2023-06-06,0.49,0.27,0.5,0.3,0.54,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-07,0.49,0.28,0.51,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.45,0.33,0.3
2023-06-08,0.5,0.31,0.49,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.41,0.33,0.3
2023-06-09,0.51,0.28,0.49,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.45,0.33,0.3
2023-06-10,0.49,0.27,0.49,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-06-11,0.49,0.26,0.5,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-12,0.49,0.26,0.5,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-06-13,0.48,0.28,0.5,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-06-14,0.49,0.28,0.5,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-06-15,0.5,0.28,0.5,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-16,0.5,0.26,0.5,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-06-17,0.49,0.29,0.51,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-18,0.49,0.29,0.51,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-19,0.48,0.29,0.51,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.43,0.33,0.29
2023-06-20,0.49,0.26,0.5,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-21,0.5,0.26,0.51,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
2023-06-22,0.49,0.28,0.49,0.3,0.55,0.33,0.3,0.1,0.59,0.45,0.42,0.33,0.29
